commit,repo_name,committer_time_sec,committer_tz_offset,committer_date,message
735be1834433d8737bb00d31c8217860a59da8a0,angular/angular.js,1455716537,120,2016-02-17 13:42:17 UTC,"fix(formatNumber): allow negative fraction size

Closes #13913
"
7c6be43e83590798cffef63d076fb79d5296fba2,angular/angular.js,1417522295,0,2014-12-02 12:11:35 UTC,"fix(ngSanitize): exclude smart quotes at the end of the link

When smart quotes are included in content filtered through linky, any
smart quote at the end of a URL string was being included in the link
text and the href.

Closes #7307
"
86c7d1221c706993044583d51a0c61423fee5bcf,angular/angular.js,1412270896,-420,2014-10-02 17:28:16 UTC,"fix(form): fix submit prevention

Do not prevent submit when action
attribute equals to an empty string.

Closes #3370
Closes #3776
"
bb948176aaf6748c0d27772797b4c1490612b917,angular/angular.js,1319655750,-420,2011-10-26 19:02:30 UTC,"test(ng:view):  spec cleanup

- remove optional controller definition from specs
- remove extranious digest calls
"
1b4a2c8feec3379af2a118a996d08f3861a559c5,angular/angular.js,1409770835,-420,2014-09-03 19:00:35 UTC,"docs(ngSwitch): fix priority
"
5d9b228e03d08bc50fa0c0b4d8e48fefeb342e31,facebook/react,1426569693,-420,2015-03-17 05:21:33 UTC,"Merge pull request #3433 from mihaip/master

Include the owner name when warning about createElement(null/undefined)."
5df7e73adf56ff4b776232fdb631e0f7d004864f,angular/angular.js,1389142475,-480,2014-01-08 00:54:35 UTC,"refactor(booleanAttrs, ngSwitch): use link function instead of compile function where appropriate

Replace two compile functions that immediately return a post-link function with link function definitions instead.

Closes #5664
"
6ad4afd404e5146ecea1f89c75fb4e7fc353c79f,facebook/react,1427229694,-420,2015-03-24 20:41:34 UTC,"Merge pull request #3502 from spicyj/tests

Fix tests after merge of #3440"
6b46e80bb9c6e60eb743a7897ab8cf27d60d3faa,facebook/react,1417644206,-480,2014-12-03 22:03:26 UTC,"Use getSelection in IE where available

IE9+ has support for window.getSelection, but we’re still using
document.selection for IE9/10. Only use the old IE selection API if the
modern one is unavailable.
"
26fb009e0cc59e55b7157047c81534551a70bc0d,facebook/react,1391809899,-480,2014-02-07 21:51:39 UTC,"fix comment
"
3d47177596e9782de36a5cd7065e01c69897b2bb,facebook/react,1389588436,-480,2014-01-13 04:47:16 UTC,"fix propTypes.any.weak test

accidentally copied over `.string.weak` and didn't change it
"
40180c4b268654d793289cc567b9e5bcb91766ad,facebook/react,1465344325,-420,2016-06-08 00:05:25 UTC,"Get rid of ugly and difficult to follow breaks in switch

Because pattern matching or something.
"
48ded230fca7983dafeb310b8bf5f6ec96958b3d,facebook/react,1454983327,420,2016-02-09 02:02:07 UTC,"Resolve default prop values in cloneElement

In cloneElement, when key in input config is set to undefined, the associated
prop value should be resolved to default prop values
"
fa4063455b9d362229d3745b70f189be682bf4c5,facebook/react,1436376241,-240,2015-07-08 17:24:01 UTC,"Concatenate warning message, due to parsing issues

The addons module warning is currently causing issues with babel/JSPM due to the warning message getting parsed as a require statement. Adding a break using string concatenation appears to prevent any issues.

Example error using JSPM:

```
Error loading ""react-addons-{addon}"" from...
```
"
fbb741febbd14bb287e42f1c802a7538a82b9e9e,facebook/react,1382749918,-420,2013-10-26 01:11:58 UTC,"Fix ReactTransitionEvents detectEvents
"
97bbd852b291a42126ababc4b1fe84e7ab3b7eb3,facebook/react,1385058719,-480,2013-11-21 18:31:59 UTC,"Merge pull request #584 from spicyj/mock

Mock modules properly in test runner."
a3a464c8fcd2fc9d04a5765f41f56315c12de44a,facebook/react,1421982671,-480,2015-01-23 03:11:11 UTC,"Remove React.createRef API

This API was removed so this won't work.
"
0b65d7555eabdd719490ae5e35482a9b348dac29,facebook/react,1372454183,-420,2013-06-28 21:16:23 UTC,"Merge pull request #136 from jeffmo/empty_expressions

Add support for empty XJS expressions"
01ef83feef099f6090391b1b5161ad2e4fb3b681,facebook/react,1423534636,-480,2015-02-10 02:17:16 UTC,"Merge pull request #3105 from matiassingers/jasmine-call-count-consistency

Jasmine spies call count property consistency"
07cfba17a9902e9072b9b73c17a375b2f6b53817,facebook/react,1467735529,-420,2016-07-05 16:18:49 UTC,"[flow] fix flattenChildren type (#7110)

Summary:
Make the debug attribute optional

Test Plan:
npm run flow

Reviewers: bdcf5544e4787a921a6414e4ed2627a42e73b132@chicoxyzzy"
0f9fd2f642ee251e61f8fb80132500c94db5e47a,angular/angular.js,1419463179,0,2014-12-24 23:19:39 UTC,"test(input): split tests into smaller files

This is complement to the previous commit.
It also refactors the input compile helpers to make it cleaner and more
consistent.
"
1219663e9a63862d39538c75f4a60993d5d4d48a,facebook/react,1406791861,120,2014-07-31 07:31:01 UTC,"Docs: added note about setState() side-effects
"
743ccf090fcf1d769df7b146f17a6e6726483051,facebook/react,1444247854,-420,2015-10-07 19:57:34 UTC,"Cache native node on native components, return it when unmounting

This is probably slightly slower for unmounts in the case that no updates were ever performed, but caching the node on the instance should make updates faster. In any case, the more important consequence of this change is that we can fix the current memory leak that happens when swapping composite types.
"
7853affd4f414d09933f2e81e440a0e95eeec7b3,facebook/react,1413354237,-420,2014-10-15 06:23:57 UTC,"Merge pull request #2343 from zpao/proptypes-deprecation

Update PropTypes for ReactElement & ReactNode"
e780eeee27f468bed0a339cf6fbb74cadf7a76fe,angular/angular.js,1414113187,-240,2014-10-24 01:13:07 UTC,"test(ngSanitize): enhance test regarding the `xlink:href` attribute

Closes #9770
"
f65f7b3bbd756502a30f9c8c3f2957808b423481,facebook/react,1383769850,-300,2013-11-06 20:30:50 UTC,"IE8 support in jasmine-support
"
88f3517db2a66b3b8a1a5888e07ccca7c6604c01,angular/angular.js,1471444080,180,2016-08-17 14:28:00 UTC,"docs(guide/concepts): improve wording
"
898714df9ea38f9ef700015ced5ddea52f096b77,angular/angular.js,1423186362,120,2015-02-06 01:32:42 UTC,"fix(ngMock): handle cases where injector is created before tests

This caused an exception for people who created an injector before the tests actually began to run. Since the array was initialized only in beforeEach, anyone accessing it before that would throw. This is solved easily but initializing the array immediately.

Closes #10967
"
909415d5ed817ea3dc2ddcfded00f808df4b5849,angular/angular.js,1315515659,120,2011-09-08 21:00:59 UTC,"feat(scenario): browserTrigger returns false if preventDefault()

https://developer.mozilla.org/en/DOM/element.dispatchEvent
dispatchEvent method returns false if at least one of the event handlers called
preventDefault(), true otherwise.

It's helpful when browserTrigger method returns this value, as we can assert,
whether the default operation was cancelled or not.
"
f07af61f050fcdcece15c13ee8c6a6d32f86d3a1,angular/angular.js,1404257547,180,2014-07-01 23:32:27 UTC,"fix($animate): ensure that parallel class-based animations are all eventually closed

When multiple classes are added/removed in parallel then $animate only closes off the
last animation when the fallback timer has expired. Now all animations are closed off.

Fixes #7766
"
